Deepsets Large Model 8-Bit QAT Model Prune Iter: 9, Test Accuracy: 0.6406515019418245, Val Accuracy: 0.6426683082247049, Val Loss: 0.9358318022319249, Phi Sparsities: (tensor(0.4583, device='cuda:0'), tensor(0.8896, device='cuda:0')), Rho Sparsities: (tensor(0.8511, device='cuda:0'), tensor(0.9199, device='cuda:0'), tensor(0.8262, device='cuda:0'), tensor(0.9062, device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 10, Test Accuracy: 0.6339145597210113, Val Accuracy: 0.6359334836246266, Val Loss: 0.9518943019464713, Phi Sparsities: (tensor(0.4792, device='cuda:0'), tensor(0.9199, device='cuda:0')), Rho Sparsities: (tensor(0.8823, device='cuda:0'), tensor(0.9399, device='cuda:0'), tensor(0.8594, device='cuda:0'), tensor(0.9219, device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 11, Test Accuracy: 0.6237179995244512, Val Accuracy: 0.6248213557827487, Val Loss: 0.983245584024053, Phi Sparsities: (tensor(0.5417, device='cuda:0'), tensor(0.9414, device='cuda:0')), Rho Sparsities: (tensor(0.9067, device='cuda:0'), tensor(0.9526, device='cuda:0'), tensor(0.8857, device='cuda:0'), tensor(0.9406, device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 12, Test Accuracy: 0.5942181184116668, Val Accuracy: 0.5957424861285573, Val Loss: 1.0420243200801669, Phi Sparsities: (tensor(0.5833, device='cuda:0'), tensor(0.9570, device='cuda:0')), Rho Sparsities: (tensor(0.9214, device='cuda:0'), tensor(0.9644, device='cuda:0'), tensor(0.9160, device='cuda:0'), tensor(0.9563, device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 13, Test Accuracy: 0.5489498295949908, Val Accuracy: 0.5491826871085009, Val Loss: 1.1327147796040489, Phi Sparsities: (tensor(0.6198, device='cuda:0'), tensor(0.9707, device='cuda:0')), Rho Sparsities: (tensor(0.9336, device='cuda:0'), tensor(0.9731, device='cuda:0'), tensor(0.9375, device='cuda:0'), tensor(0.9750, device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 14, Test Accuracy: 0.5103669652056749, Val Accuracy: 0.5113957957258487, Val Loss: 1.2208992733436377, Phi Sparsities: (tensor(0.6510, device='cuda:0'), tensor(0.9766, device='cuda:0')), Rho Sparsities: (tensor(0.9473, device='cuda:0'), tensor(0.9795, device='cuda:0'), tensor(0.9541, device='cuda:0'), tensor(0.9844, device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 15, Test Accuracy: 0.4521558215106602, Val Accuracy: 0.4520118791125604, Val Loss: 1.3039798635203823, Phi Sparsities: (tensor(0.7031, device='cuda:0'), tensor(0.9805, device='cuda:0')), Rho Sparsities: (tensor(0.9556, device='cuda:0'), tensor(0.9834, device='cuda:0'), tensor(0.9727, device='cuda:0'), tensor(0.9875, device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 16, Test Accuracy: 0.3735040025362606, Val Accuracy: 0.37335518380181515, Val Loss: 1.4297083559490384, Phi Sparsities: (tensor(0.7344, device='cuda:0'), tensor(0.9854, device='cuda:0')), Rho Sparsities: (tensor(0.9648, device='cuda:0'), tensor(0.9888, device='cuda:0'), tensor(0.9775, device='cuda:0'), tensor(0.9906, device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 17, Test Accuracy: 0.2929103590393913, Val Accuracy: 0.2926454317824492, Val Loss: 1.4961601430866993, Phi Sparsities: (tensor(0.7552, device='cuda:0'), tensor(0.9854, device='cuda:0')), Rho Sparsities: (tensor(0.9731, device='cuda:0'), tensor(0.9922, device='cuda:0'), tensor(0.9863, device='cuda:0'), tensor(0.9906, device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 18, Test Accuracy: 0.2, Val Accuracy: 0.2, Val Loss: 9.939027208074624, Phi Sparsities: (tensor(0.7604, device='cuda:0'), tensor(0.9883, device='cuda:0')), Rho Sparsities: (tensor(0.9785, device='cuda:0'), tensor(0.9961, device='cuda:0'), tensor(0.9922, device='cuda:0'), tensor(0.9938, device='cuda:0'))
Deepsets Large Model 8-Bit QAT Model Prune Iter: 19, Test Accuracy: 0.2, Val Accuracy: 0.2, Val Loss: 1.6094365217247788, Phi Sparsities: (tensor(0.7865, device='cuda:0'), tensor(0.9902, device='cuda:0')), Rho Sparsities: (tensor(0.9819, device='cuda:0'), tensor(0.9995, device='cuda:0'), tensor(0.9951, device='cuda:0'), tensor(0.9938, device='cuda:0'))
Deepsets Large Model 4-Bit QAT Model Prune Iter: 0, Test Accuracy: 0.6022667829119442, Val Accuracy: 0.6036302834183228, Val Loss: 1.0077946433404676, Phi Sparsities: (tensor(0., device='cuda:0'), tensor(0., device='cuda:0')), Rho Sparsities: (tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'))
Deepsets Large Model 4-Bit QAT Model Prune Iter: 1, Test Accuracy: 0.6030831417928192, Val Accuracy: 0.6056284366655298, Val Loss: 1.0045750988583986, Phi Sparsities: (tensor(0.0208, device='cuda:0'), tensor(0.2021, device='cuda:0')), Rho Sparsities: (tensor(0.1572, device='cuda:0'), tensor(0.2632, device='cuda:0'), tensor(0.1689, device='cuda:0'), tensor(0.2688, device='cuda:0'))
Deepsets Large Model 4-Bit QAT Model Prune Iter: 2, Test Accuracy: 0.6036696520567488, Val Accuracy: 0.6061974361747261, Val Loss: 1.0041050866347592, Phi Sparsities: (tensor(0.1198, device='cuda:0'), tensor(0.3633, device='cuda:0')), Rho Sparsities: (tensor(0.2954, device='cuda:0'), tensor(0.4595, device='cuda:0'), tensor(0.2959, device='cuda:0'), tensor(0.4750, device='cuda:0'))
Deepsets Large Model 4-Bit QAT Model Prune Iter: 3, Test Accuracy: 0.604248236506301, Val Accuracy: 0.6070908652286396, Val Loss: 1.0026444512970594, Phi Sparsities: (tensor(0.2656, device='cuda:0'), tensor(0.5000, device='cuda:0')), Rho Sparsities: (tensor(0.4312, device='cuda:0'), tensor(0.5845, device='cuda:0'), tensor(0.3984, device='cuda:0'), tensor(0.6156, device='cuda:0'))
Deepsets Large Model 4-Bit QAT Model Prune Iter: 4, Test Accuracy: 0.6020290084806214, Val Accuracy: 0.6051958639392402, Val Loss: 1.0054060974899603, Phi Sparsities: (tensor(0.2708, device='cuda:0'), tensor(0.6309, device='cuda:0')), Rho Sparsities: (tensor(0.5322, device='cuda:0'), tensor(0.6772, device='cuda:0'), tensor(0.5078, device='cuda:0'), tensor(0.7344, device='cuda:0'))
Deepsets Large Model 4-Bit QAT Model Prune Iter: 5, Test Accuracy: 0.6002100340810018, Val Accuracy: 0.6023358927219639, Val Loss: 1.0134631034468307, Phi Sparsities: (tensor(0.2812, device='cuda:0'), tensor(0.7275, device='cuda:0')), Rho Sparsities: (tensor(0.6318, device='cuda:0'), tensor(0.7446, device='cuda:0'), tensor(0.5820, device='cuda:0'), tensor(0.8156, device='cuda:0'))
Deepsets Large Model 4-Bit QAT Model Prune Iter: 6, Test Accuracy: 0.5994768962510898, Val Accuracy: 0.6013110281089085, Val Loss: 1.0187165497922572, Phi Sparsities: (tensor(0.3125, device='cuda:0'), tensor(0.7949, device='cuda:0')), Rho Sparsities: (tensor(0.7075, device='cuda:0'), tensor(0.8066, device='cuda:0'), tensor(0.6514, device='cuda:0'), tensor(0.8406, device='cuda:0'))
